image_name,barn,castle
targettest/barn/110.jpg,0.964,0.000
targettest/barn/161.jpg,0.960,0.000
targettest/barn/19.jpg,0.143,0.009
targettest/barn/231.jpg,0.793,0.000
targettest/barn/268.jpg,0.864,0.000
targettest/barn/27.jpg,0.801,0.000
targettest/barn/281.jpg,0.976,0.000
targettest/barn/320.jpg,0.996,0.000
targettest/barn/342.jpg,0.418,0.005
targettest/barn/348.jpg,0.928,0.000
targettest/barn/383.jpg,0.987,0.000
targettest/barn/395.jpg,0.978,0.000
targettest/barn/426.jpg,0.491,0.002
targettest/barn/435.jpg,0.787,0.000
targettest/barn/439.jpg,0.145,0.046
targettest/barn/447.jpg,0.981,0.000
targettest/barn/543.jpg,0.905,0.000
targettest/barn/596.jpg,0.906,0.000
targettest/barn/622.jpg,0.954,0.001
targettest/barn/630.jpg,0.988,0.000
targettest/barn/679.jpg,0.961,0.000
targettest/barn/686.jpg,0.905,0.000
targettest/barn/733.jpg,0.998,0.000
targettest/barn/759.jpg,0.969,0.000
targettest/barn/847.jpg,0.754,0.000
targettest/barn/859.jpg,0.963,0.000
targettest/barn/86.jpg,0.966,0.000
targettest/barn/9.jpg,0.988,0.000
targettest/barn/919.jpg,0.936,0.000
targettest/barn/958.jpg,0.987,0.000
targettest/barn/996.jpg,0.161,0.005
targettest/castle/169.jpg,0.000,0.639
targettest/castle/183.jpg,0.000,0.656
targettest/castle/199.jpg,0.000,0.322
targettest/castle/208.jpg,0.000,0.980
targettest/castle/224.jpg,0.000,0.597
targettest/castle/318.jpg,0.010,0.190
targettest/castle/338.jpg,0.061,0.017
targettest/castle/369.jpg,0.000,0.040
targettest/castle/385.jpg,0.000,0.959
targettest/castle/424.jpg,0.000,0.253
targettest/castle/674.jpg,0.002,0.001
targettest/castle/681.jpg,0.407,0.111
targettest/castle/682.jpg,0.000,0.975
targettest/castle/702.jpg,0.512,0.038
targettest/castle/725.jpg,0.000,0.417
targettest/castle/737.jpg,0.000,0.797
targettest/castle/742.jpg,0.011,0.495
targettest/castle/744.jpg,0.000,0.555
targettest/castle/757.jpg,0.000,0.974
targettest/castle/767.jpg,0.000,0.893
targettest/castle/822.jpg,0.000,0.788
targettest/castle/830.jpg,0.000,0.756
targettest/castle/853.jpg,0.000,0.775
targettest/castle/873.jpg,0.006,0.522
targettest/castle/885.jpg,0.000,0.909
targettest/castle/90.jpg,0.014,0.512
targettest/castle/905.jpg,0.000,0.951
targettest/castle/910.jpg,0.363,0.225
targettest/castle/920.jpg,0.000,0.808
targettest/castle/978.jpg,0.000,0.896
